Driver_ID,Name,Phone,@lat,@lon,Driver_at_restaurant_datetime,Delivered_to_consumer_datetime,Total_time_elapsed
1373,Rebecca,648-5688-29,49.5055487,8.4811074,,,
1374,Adrianna,104-6621-29,49.5056263,8.4810789,,,
1375,John,445-8262-68,49.4893261,8.4933747,,,
1376,Lilianna,079-5169-64,49.4912043,8.4676905,,,
1377,April,392-7710-72,49.4904155,8.467146,,,
1378,Fenton,239-6666-46,49.4908419,8.4660912,,,
1379,Lenny,917-0668-98,49.4631382,8.5171027,,,
1380,Sofia,494-5735-65,49.4793008,8.4961586,,,
1381,Clark,360-3547-79,49.5263008,8.4865308,,,
1382,Steven,716-8644-11,49.4737881,8.4709647,,,
1383,Eleanor,889-5127-68,49.5179633,8.5237372,,,
1384,Amanda,183-6174-34,49.4861369,8.5156669,,,
1385,Sawyer,482-0630-17,49.484986,8.5163073,,,
1386,Dainton,164-1422-69,49.4767831,8.4896006,,,
1387,Owen,809-5344-46,49.4884778,8.4693838,,,
1388,Ada,539-7742-12,49.4737886,8.4709649,,,
1389,Garry,004-6913-19,49.4925046,8.4707959,,,
1390,Harold,994-1857-76,49.4172273,8.533912,,,
1391,Myra,649-5466-12,49.4164683,8.5374096,,,
1392,Adele,444-2628-98,49.5450663,8.4427907,,,
1393,Chloe,561-1521-50,49.491005,8.4636938,,,
1394,Patrick,247-3353-11,49.5557369,8.4442914,,,
1395,Fiona,595-8181-18,49.4756968,8.4724324,,,
1396,Audrey,769-9822-32,49.4851795,8.4746831,,,
1397,Ned,460-7918-85,49.4792002,8.471383,,,
1398,Lucy,923-3313-63,49.485734,8.4701613,,,
1399,Madaline,051-3357-32,49.4872373,8.4701012,,,
1400,Lyndon,247-3299-50,49.4879087,8.4677731,,,
1401,Tess,247-3299-51,49.4805108,8.4701291,,,
1402,Savana,247-3299-52,49.4882644,8.4674002,,,
1403,Roman,247-3299-53,49.543886,8.4475482,,,
1404,Henry,247-3299-54,49.4864431,8.4707935,,,
1405,Jordan,247-3299-55,49.4858644,8.4693298,,,
1406,Evelyn,247-3299-56,49.4856957,8.4667737,,,
1407,Owen,247-3299-57,49.4712872,8.4701431,,,
1408,Abigail,247-3299-58,49.4878535,8.4678565,,,
1409,Tony,247-3299-59,49.475289,8.4732171,,,
1410,Abigail,247-3299-60,49.4536812,8.4893867,,,
